// ID,addr_line1,city,province,country
1,20 MASON AVENUE,MOUNT VERNON,NEW YORK,UNITED STATES
2,17 FOUNTAIN STREET,NEWARK,NEW JERSEY,UNITED STATES
3,616 MANOR ROAD,LADSON,SOUTH CAROLINA,UNITED STATES
4,49 LINDEN STREET,WEST BABYLON,NEW YORK,UNITED STATES
5,808 LIBERTY ST.,ROANOKE RAPIDS,NORTH CAROLINA,UNITED STATES
6,115 LAKESHORE STREET,TIFFIN,OHIO,UNITED STATES
7,344 CATHERINE STREET,ROCK HILL,SOUTH CAROLINA,UNITED STATES
8,8649 NEWBRIDGE ST.,WOONSOCKE,RHODE ISLAND,UNITED STATES
9,765 SHADY DR.,WEST HAVEN,CONNECTICUT,UNITED STATES
10,232 EAST TOWER AVE.,MACON,GEORGIA,UNITED STATES
11,9376 RIDGE LANE,SAGINAW,MICHIGAN,UNITED STATES
12,3 E. CAVE STREET,WILSON,NORTH CAROLINA,UNITED STATES
13,70 GRAVEL DR.,ANDOVER,MASSACHUSETTS,UNITED STATES
14,75 WEST ALBANY ST.,DORCHESTER CENTER,MASSACHUSETTS,UNITED STATES
15,31 MORRIS ST.,SOUTH PLAINFIELD,NEW JERSEY,UNITED STATES
16,7006 BURNING BUSH,SACHSE,TEXAS,UNITED STATES
17,1003 HEATHERWOOD DR,WYLIE,TEXAS,UNITED STATES
18,1709 MONTANA TRL,PLANO,TEXAS,UNITED STATES
19,8910 TALON CT,MCKINNEY,TEXAS,UNITED STATES
20,2217 STANMORE LN,PLANO,TEXAS,UNITED STATES
21,7104 DOVE TAIL DR,MCKINNEY,TEXAS,UNITED STATES
22,8758 COUNTY ROAD 133,CELINA,TEXAS,UNITED STATES
23,2900 BRIARGROVE LN,MCKINNEY,TEXAS,UNITED STATES
24,10707 SWEETWATER DR,FRISCO,TEXAS,UNITED STATES
25,8601 HUMMINGBIRD DR,FRISCO,TEXAS,UNITED STATES
26,2700 KATIE TRL,MELISSA,TEXAS,UNITED STATES
27,7901 WHISPERING TREE LN,PLANO,TEXAS,UNITED STATES
28,710 WHITE OAK ST,ALLEN,TEXAS,UNITED STATES
29,7508 ARCHER WAY,MCKINNEY,TEXAS,UNITED STATES
30,1708 LONG PRAIRIE RD,ALLEN,TEXAS,UNITED STATES
31,1007 BISCAYNE CT,ALLEN,TEXAS,UNITED STATES
32,14215 DANEHURST LN,FRISCO,TEXAS,UNITED STATES
33,406 LAWNDALE DR,RICHARDSON,TEXAS,UNITED STATES
34,755 OTTO CT,ALLEN,TEXAS,UNITED STATES
35,9605 ANNS WAY,PLANO,TEXAS,UNITED STATES
36,2106 HARMONY WOODS RD,OWINGS MILLS,MARYLAND,UNITED STATES
37,8610 VALLEYFIELD RD,LUTHERVILLE TIMONIUM,MARYLAND,UNITED STATES
38,3605 JACKSON CABIN RD,PHOENIX,MARYLAND,UNITED STATES
39,1700 N  ROLLING RD,WINDSOR MILL,MARYLAND,UNITED STATES
40,8623 OAK RD,PARKVILLE,MARYLAND,UNITED STATES
41,1704 PARSONAGE RD,PARKTON,MARYLAND,UNITED STATES
42,54 TRAILWOOD RD,NOTTINGHAM,MARYLAND,UNITED STATES
43,3312 SHELBURNE RD,PIKESVILLE,MARYLAND,UNITED STATES
44,912 TIMBER RUN RD,REISTERSTOWN,MARYLAND,UNITED STATES
45,1939 LINCOLN AVE,HALETHORPE,MARYLAND,UNITED STATES
46,1321 GLENDALE RD,BALTIMORE,MARYLAND,UNITED STATES
47,8122 LONGPOINT RD,DUNDALK,MARYLAND,UNITED STATES
48,1914 EASTFIELD RD,DUNDALK,MARYLAND,UNITED STATES
49,3670 CLIFMAR RD,WINDSOR MILL,MARYLAND,UNITED STATES
50,3204 RICHWOOD AVE,WINDSOR MILL,MARYLAND,UNITED STATES
51,6814 CHIPPEWA DR,BALTIMORE,MARYLAND,UNITED STATES
52,13918 OLD HANOVER RD,REISTERSTOWN,MARYLAND,UNITED STATES
53,2107 SOUTHLAND RD,GWYNN OAK,MARYLAND,UNITED STATES
54,5 E  TIMONIUM RD,LUTHERVILLE TIMONIUM,MARYLAND,UNITED STATES
55,3026 REGAL PARK CT,DULUTH,GEORGIA,UNITED STATES
56,2662 ORIOLE LN,DULUTH,GEORGIA,UNITED STATES
57,3362 BLUE JAY DR,DULUTH,GEORGIA,UNITED STATES
58,3207 MEADOW LARK DR,DULUTH,GEORGIA,UNITED STATES
59,3006 CARDINAL LAKE CIR,DULUTH,GEORGIA,UNITED STATES
60,3637 REGENCY PARK DR,DULUTH,GEORGIA,UNITED STATES
61,2808 MOCKINGBIRD CIR,DULUTH,GEORGIA,UNITED STATES
62,2921 CREEK DR,DULUTH,GEORGIA,UNITED STATES
63,3128 ROBIN LN,DULUTH,GEORGIA,UNITED STATES
64,2882 CREEK DR,DULUTH,GEORGIA,UNITED STATES
65,2892 CREEK DR,DULUTH,GEORGIA,UNITED STATES
66,3586 LORI LN,DULUTH,GEORGIA,UNITED STATES
67,3197 MEADOW LARK DR,DULUTH,GEORGIA,UNITED STATES
68,3342 BLUE JAY DR,DULUTH,GEORGIA,UNITED STATES
69,3019 JESTER CT,DULUTH,GEORGIA,UNITED STATES
70,2896 RED PINE CT,DULUTH,GEORGIA,UNITED STATES
71,2876 MOCKINGBIRD CIR,DULUTH,GEORGIA,UNITED STATES
72,3035 JESTER CT,DULUTH,GEORGIA,UNITED STATES
73,2926 RED PINE CT,DULUTH,GEORGIA,UNITED STATES
74,3063 MAJESTIC PARK,DULUTH,GEORGIA,UNITED STATES
75,4448 SCHUSTER WAY,COLUMBUS,OHIO,UNITED STATES
76,3106 SOMERFORD RD,COLUMBUS,OHIO,UNITED STATES
77,99 1 ST SW,PATASKALA,OHIO,UNITED STATES
78,10012 MORSE RD SW,PATASKALA,OHIO,UNITED STATES
79,3818 HEADLEYS MILL RD SW,PATASKALA,OHIO,UNITED STATES
80,4941 ROOT ST,COLUMBUS,OHIO,UNITED STATES
81,3983 MAIN ST,HILLIARD,OHIO,UNITED STATES
82,804 WHITEHEAD DR,PATASKALA,OHIO,UNITED STATES
83,61 7 AVE SW,PATASKALA,OHIO,UNITED STATES
84,8525 PRIESTLEY DR,REYNOLDSBURG,OHIO,UNITED STATES
85,65 HILLGAIL RD SW,PATASKALA,OHIO,UNITED STATES
86,8337 CLOUSE RD,NEW ALBANY,OHIO,UNITED STATES
87,4914 WHISPERING FALLS DR,GROVEPORT,OHIO,UNITED STATES
88,276 STONEBEND DR,POWELL,OHIO,UNITED STATES
89,3141 ASBURY DR,COLUMBUS,OHIO,UNITED STATES
90,1479 N MACOMB ST,MONROE,MICHIGAN,UNITED STATES
91,920 KENTUCKY AVE,MONROE,MICHIGAN,UNITED STATES
92,636 LAPLAISANCE ST,MONROE,MICHIGAN,UNITED STATES
93,633 SCOTT ST,MONROE,MICHIGAN,UNITED STATES
94,640 LAPLAISANCE ST,MONROE,MICHIGAN,UNITED STATES
95,639 SCOTT ST,MONROE,MICHIGAN,UNITED STATES
96,642 LAPLAISANCE ST,MONROE,MICHIGAN,UNITED STATES
97,608 LAPLAISANCE ST,MONROE,MICHIGAN,UNITED STATES
98,614 LAPLAISANCE ST,MONROE,MICHIGAN,UNITED STATES
99,629 SCOTT ST,MONROE,MICHIGAN,UNITED STATES
100,1 VIA FRABAZZA,FRABAZZA,EMILIA-ROMAGNA,ITALY
101,9 VIA DELLA GABELLA,BOLOGNA,EMILIA-ROMAGNA,ITALY
102,56 VIA PERSICETANA,BARGELLINO,EMILIA-ROMAGNA,ITALY
103,4 PASSAGGIO A. MARESCALCHI,BOLOGNA,EMILIA-ROMAGNA,ITALY
104,2 PIAZZA DELLE MEDAGLIE D'ORO,BOLOGNA,EMILIA-ROMAGNA,ITALY
105,61 VIALE PIETRO PIETRAMELLARA,BOLOGNA,EMILIA-ROMAGNA,ITALY
